!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
SKYLDE	ʃ y l l a 
SKYLDEN	ʃ y l l ə n 
SKYLDER	ʃ y l l ə r 
SKYLDES	ʃ y l l ə s 
SKYLDIGE	ʃ y l l iː ɡ a 
SKYLDTES	ʃ y l l t ə s 
SKYLL	ʃ y l 
SKYTES	ʃ yː t ə s 
SKYTINGEN	ʃ yː t ɪ ŋ ə n 
SKYVE	ʃ yː v a 
SKYVES	ʃ yː v ə s 
SKÅLGROPERPUNKTUM	s k ɔ l ɡ r uː p a r p ʉ ŋ k t ʉː m 
SKÅRET	s k oː r ə t 
SKØYTETAK	ʃ øy t eː t a k 
SLAG	ʃ l a ɡ 
SLAGFERDIGE	ʃ l ɑ ɡ f a r d iː ɡ a 
SLAGPLAN	ʃ l ɑ ɡ p l a n 
SLAGS	ʃ l ɑ ɡ s 
SLAGSMÅL	ʃ l ɑ ɡ s m oː l 
SLALÅMBAKKE	ʃ l a l ɔ m b ɑ kː a 
SLALÅMFART	ʃ l a l ɔ m f ɑ r t 
SLAMRET	ʃ l ɑ m r ə t 
SLANKING	ʃ l ɑ ŋ x ɪ ŋ 
SLANKINGEN	ʃ l ɑ ŋ x ɪ ŋ ə n 
SLAPP	ʃ l ɑ pː 
SLAPPER	ʃ l ɑ pː ə r 
SLAPPESTE	ʃ l ɑ pː ɛ s t a 
SLAVETRAFIKKEN	ʃ l a v ə t r a f ɪ kː ə n 
SLEIPT	ʃ l aɪ p t 
SLEKT	ʃ l ɛ k t 
SLEKTNINGENE	ʃ l ɛ k t n ɪ ŋ ɛ n a 
SLEKTS	ʃ l ɛ k t s 
SLEKTSGRANSKING	ʃ l ɛ k t s ɡ r ɑ n ʃ ɪ ŋ 
SLEKTSGRUPPENES	ʃ l ɛ k t s ɡ r ʉ pː eː n ə s 
SLEKTSKAP	ʃ l ɛ k t s k a p 
SLEKTSROMANENE	ʃ l ɛ k t s r uː m a n ɛ n a 
SLEM	ʃ l ɛ m 
SLEMMESTAD	ʃ l ɛ m m ə s t a d 
SLENGTE	ʃ l ɛ ŋ t a 
SLEPENDEN	ʃ l eː p ɛ n n ə n 
SLETT	ʃ l ɛ tː 
SLETTE	ʃ l ɛ tː a 
SLETTEN	ʃ l ɛ tː ə n 
SLETTENE	ʃ l ɛ tː ɛ n a 
SLIDRE	ʃ l ɪ d r a 
SLIK	ʃ l iː k 
SLIKE	ʃ l iː k a 
SLIKT	ʃ l ɪ k t 
SLIMHINNENE	ʃ l ɪ m h ɪ n n ɛ n a 
SLIMSTOFFENE	ʃ l ɪ m s t ɔ f f ɛ n a 
SLIPPE	ʃ l ɪ pː a 
SLIPPER	ʃ l ɪ pː ə r 
SLIPPES	ʃ l ɪ pː ə s 
SLIT	ʃ l iː t 
SLITE	ʃ l iː t a 
SLITEN	ʃ l iː t ə n 
SLITER	ʃ l iː t ə r 
SLITESTYRKE	ʃ l iː t ə s t y r k a 
SLITNE	ʃ l ɪ t n a 
SLITSOM	ʃ l ɪ t s uː m 
SLITT	ʃ l ɪ tː 
SLITTE	ʃ l ɪ tː a 
SLO	ʃ l uː 
SLOTT	ʃ l ɔ tː 
SLOTTSBALL	ʃ l ɔ tː s b ɑ l 
SLUKER	ʃ l ʉː k ə r 
SLUKKE	ʃ l ʉ kː a 
SLUKTE	ʃ l ʉ k t a 
SLURVETE	ʃ l ʉ r v eː t a 
SLUTT	ʃ l ʉ tː 
SLUTTE	ʃ l ʉ tː a 
SLUTTEN	ʃ l ʉ tː ə n 
SLUTTER	ʃ l ʉ tː ə r 
SLUTTET	ʃ l ʉ tː ə t 
SLUTTPUNKTUM	ʃ l ʉ tː p ʉ ŋ k t ʉː m 
SLÅ	ʃ l oː 
SLÅENDE	ʃ l oː a n n a 
SLÅR	ʃ l oː r 
SLÅSS	ʃ l ɔ s 
SLÅSSING	ʃ l ɔ s s ɪ ŋ 
SLÅSSKAMP	ʃ l ɔ s s k ɑ m p 
SLÅTT	ʃ l ɔ tː 
SMAK	s m a k 
SMAKSRIKE	s m ɑ k s r iː k a 
SMAKT	s m ɑ k t 
SMAL	s m a l 
SMALE	s m a l a 
SMALERE	s m a l eː r a 
SMEDER	s m eː d ə r 
SMEDVERKTØYET	s m ɛ d v a r k t øy ə t 
SMELTER	s m ɛ l t ə r 
SMERTE	s m a r t a 
SMERTEDEMPENDE	s m a r t eː d ɛ m p ɛ n n a 
SMERTEFULL	s m a r t eː f ʉ l 
SMERTER	s m a r t ə r 
SMIDIG	s m iː d ɪ 
SMIL	s m iː l 
SMILE	s m iː l a 
SMILEBÅNDET	s m iː l eː b ɔ n n ə t 
SMILENDE	s m iː l ɛ n n a 
SMILER	s m iː l ə r 
SMILERYNKER	s m iː l eː r y ŋ k ə r 
SMILPUNKTUM	s m ɪ l p ʉ ŋ k t ʉː m 
SMITH	s m ɪ t h 
SMITTE	s m ɪ tː a 
SMITTEFARLIGE	s m ɪ tː eː f ɑ r l iː ɡ a 
SMITTEMÅTENE	s m ɪ tː eː m oː t ɛ n a 
SMITTER	s m ɪ tː ə r 
SMULE	s m ʉː l a 
SMUTTHULL	s m ʉ tː h ʉ l 
SMYKKER	s m y kː ə r 
SMÅ	s m oː 
SMÅAKSJONÆRER	s m oː ɑ k ʃ uː n aː r ə r 
SMÅBARNSFAMILIERS	s m oː b ɑ r n s f a m iː l iː a ʃ 
SMÅBARNSFORELDRE	s m oː b ɑ r n s f uː r ɛ l l r a 
SMÅBEDRIFTENE	s m oː b ə d r ɪ f t ɛ n a 
SMÅBEDRIFTER	s m oː b ə d r ɪ f t ə r 
SMÅBITER	s m oː b iː t ə r 
SMÅBORGERBARN	s m oː b ɔ r ɡ a r b ɑ r n 
SMÅBRUKERNE	s m ɔ b r ʉː k a r n a 
SMÅBY	s m oː b yː 
SMÅBÅTULYKKER	s m oː b oː t ʉː l y kː ə r 
SMÅGNAGERE	s m ɔ ŋ n a ɡ eː r a 
SMÅKUNDENE	s m oː k ʉ n n ɛ n a 
SMÅLIGE	s m oː l iː ɡ a 
SMÅPARTIENE	s m oː p ɑ r t iː ɛ n a 
SMÅPLANTENE	s m ɔ p l ɑ n t ɛ n a 
SMÅPRAT	s m ɔ p r a t 
SMÅROLLINGENE	s m oː r ɔ l l ɪ ŋ ɛ n a 
SMÅSKUMMELT	s m ɔ s k ʉ m m ɛ l t 
SMÅSTEIN	s m ɔ s t aɪ n 
SMÅTING	s m oː t ɪ ŋ 
SMÅTT	s m ɔ tː 
SMÅTYVERI	s m oː t yː v eː r iː 
SMØR	s m øː r 
SMØRBRØD	s m œ r b r øː d 
SMØRES	s m øː r ə s 
SMØRET	s m øː r ə t 
SMØRLIKNENDE	s m œ r l ɪ k n ɛ n n a 
SNAKK	s n ɑ kː 
SNAKKE	s n ɑ kː a 
SNAKKER	s n ɑ kː ə r 
SNAKKET	s n ɑ kː ə t 
SNARERE	s n a r eː r a 
SNAREST	s n a r ɛ s t 
SNART	s n ɑ r t 
SNARVEI	s n ɑ r v aɪ 
SNARØYA	s n a r øy ɑ 
SNEGLER	s n ɛ ɡ l ə r 
SNERTINGDAL	s n a r t ɪ ŋ d a l 
SNEV	s n eː v 
SNEVER	s n eː v ə r 
SNIKE	s n iː k a 
SNILL	s n ɪ l 
SNILLE	s n ɪ l l a 
SNORER	s n uː r ə r 
SNORRE	s n ɔ r r a 
SNUBLET	s n ʉ b l ə t 
SNUBLETRÅDER	s n ʉ b l ə t r oː d ə r 
SNUDDE	s n ʉ dː a 
SNUOPERASJON	s n ʉː uː p eː r ɑ ʃ uː n 
SNUR	s n ʉː r 
SNURRER	s n ʉ r r ə r 
SNUS	s n ʉː s 
SNØ	s n øː 
SNØEN	s n øː ə n 
SNØFLEKK	s n œ f l ɛ kː 
SNØRIKE	s n øː r iː k a 
SNØVÆR	s n øː v aː r 
SOFAEN	s uː f aː n 
SOFAKROKEN	s uː f ɑ k r uː k ə n 
SOFIE	s uː f iː a 
SOGAR	s uː ɡ a r 
SOKNEDAL	s ɔ k n eː d a l 
SOL	s uː l 
SOLA	s uː l ɑ 
SOLAKTIVITETEN	s uː l ɑ k t iː v iː t eː t ə n 
SOLATMOSFÆREN	s uː l ɑ t m ɔ s f aː r ə n 
SOLBAKKEN	s ɔ l b ɑ kː ə n 
SOLBERG	s ɔ l b a r ɡ 
SOLBERGELVA	s ɔ l b a r ɡ ɛ l v ɑ 
SOLBJØRG	s ɔ l b j œ r ɡ 
SOLCELLEPANELENE	s ɔ l k ə l l eː p a n eː l ɛ n a 
SOLDAGER	s ɔ l l a ɡ ə r 
SOLDATENE	s ɔ l l a t ɛ n a 
SOLDATER	s ɔ l l a t ə r 
SOLEM	s uː l ə m 
SOLEN	s uː l ə n 
SOLER	s uː l ə r 
SOLFLEKKMINIMUM	s ɔ l f l ə kː m iː n iː m ʉː m 
SOLGT	s ɔ l ɡ t 
SOLHAUG	s ɔ l h aʊ ɡ 
SOLHEIM	s ɔ l h aɪ m 
SOLID	s uː l iː d 
SOLIDARITET	s uː l iː d a r iː t ə t 
SOLKORSET	s ɔ l k ɔ r ʃ ə t 
SOLLI	s ɔ l l iː 
SOLLIE	s ɔ l l iː a 
SOLONUMMER	s uː l uː n ʉ m m ə r 
SOLOPARTIET	s uː l uː p ɑ r t iː ə t 
SOLTAK	s ɔ l t a k 
SOLUM	s uː l ʉː m 
SOLUND	s uː l ʉ n n 
SOLVEGGEN	s ɔ l v ɛ ɡː ə n 
SOLVEIG	s ɔ l v aɪ ɡ 
SOM	s uː m 
SOMALIERE	s uː m a l iː eː r a 
SOMMER	s ɔ m m ə r 
SOMMEREN	s ɔ m m eː r ə n 
SOMMERENPUNKTUM	s ɔ m m eː r ɛ n p ʉ ŋ k t ʉː m 
SOMMERFERIEN	s ɔ m m a r f eː r iː ə n 
SOMMERHJEMMENE	s ɔ m m a r j ɛ m m ɛ n a 
SOMMERKURS	s ɔ m m a r k ʉ ʃ 
SOMMERKVELDER	s ɔ m m a r k v ɛ l l ə r 
SOMMEROPPHOLD	s ɔ m m eː r ɔ pː h ɔ l l 
SOMMERSESONGEN	s ɔ m m a r ʃ eː s ɔ ŋ ə n 
SOMMERTURISTENE	s ɔ m m a r t ʉː r ɪ s t ɛ n a 
SONAR	s uː n a r 
SONDRE	s ʊ n n r a 
SONER	s uː n ə r 
SONJA	s ɔ n j ɑ 
SOPP	s ɔ pː 
SOPPANGREP	s ɔ pː ɑ ŋ r ə p 
SOPPEN	s ɔ pː ə n 
SOPPER	s ɔ pː ə r 
SOPPFLORAEN	s ɔ pː f l uː r aː n 
SOPPPUNKTUM	s ɔ pː p ʉ ŋ k t ʉː m 
SOPPSANKER	s ɔ pː s ɑ ŋ k ə r 
SOPRANEN	s ɔ p r a n ə n 
SORENSKRIVER	s uː r ə n s k r iː v ə r 
SORG	s ɔ r ɡ 
SORGEN	s ɔ r ɡ ə n 
SORGER	s ɔ r ɡ ə r 
SORGLØST	s ɔ r ɡ l œ s t 
SORT	s ʊ r t 
SORTE	s ʊ r t a 
SORTER	s ʊ r t ə r 
SORTLAND	s ʊ r t l ɑ n n 
SOS	s uː s 
SOSIAL	s uː s iː a l 
SOSIALDEMOKRATISKE	s uː s iː ɑ l l eː m ɔ k r a t ɪ s k a 
SOSIALE	s uː s iː a l a 
SOSIALHISTORISK	s uː s iː ɑ l h ɪ s t uː r ɪ s k 
SOSIALISERT	s uː s iː a l iː s a r t 
SOSIALISTPUNKTUM	s uː s iː a l ɪ s t p ʉ ŋ k t ʉː m 
SOSIALKOMITE	s uː s iː ɑ l k uː m iː t a 
SOSIALKONTORET	s uː s iː ɑ l k ɔ n t uː r ə t 
SOSIALKURATOR	s uː s iː ɑ l k ʉː r a t uː r 
SOSIALPOLITIKKEN	s uː s iː ɑ l p uː l iː t ɪ kː ə n 
SOSIALREALISME	s uː s iː ɑ l r eː a l ɪ s m a 
SOSIALT	s uː s iː ɑ l t 
SOSIONOM	s uː s iː uː n uː m 
SOTPARTIKLER	s ɔ t p ɑ r t ɪ k l ə r 
SOV	s uː v 
SOVE	s uː v a 
SOVEPOSE	s uː v eː p uː s a 
SOVEPUTE	s uː v eː p ʉː t a 
SOVJETISK	s ɔ v j eː t ɪ s k 
SOVJETMYNDIGHETENES	s ɔ v j ə t m y n n ɪ ɡ h eː t eː n ə s 
SOVJETPERIODEN	s ɔ v j ə t p eː r iː uː d ə n 
SPANNET	s p ɑ n n ə t 
SPANSK	s p ɑ n s k 
SPANSKE	s p ɑ n s k a 
SPAR	s p a r 
SPARE	s p a r a 
SPAREBANK	s p a r eː b ɑ ŋ k 
SPAREORDNING	s p a r eː ɔ r d n ɪ ŋ 
SPAREPÆRER	s p a r eː p aː r ə r 
SPARKER	s p ɑ r k ə r 
SPARKETPUNKTUM	s p ɑ r k ə t p ʉ ŋ k t ʉː m 
SPE	s p eː 
SPEBARN	s p eː b ɑ r n 
SPEDBARN	s p ɛ d b ɑ r n 
SPEDE	s p eː d a 
SPEIL	s p aɪ l 
SPEILENE	s p aɪ l ɛ n a 
SPEILER	s p aɪ l ə r 
SPEILET	s p aɪ l ə t 
SPEKKET	s p ɛ kː ə t 
SPEKTAKULÆRE	s p ɛ k t a k ʉː l aː r a 
SPEKULASJONER	s p eː k ʉː l ɑ ʃ uː n ə r 
SPEKULERE	s p eː k ʉː l eː r a 
SPEKULERT	s p eː k ʉː l a r t 
SPENNENDE	s p ɛ n n ɛ n n a 
SPENNER	s p ɛ n n ə r 
SPENNINGER	s p ɛ n n ɪ ŋ ə r 
SPENNVIDDE	s p ɛ n v ɪ dː a 
SPENT	s p ɛ n t 
SPESIALFELT	s p eː s iː ɑ l f ɛ l t 
SPESIALISERING	s p eː s iː a l iː s eː r ɪ ŋ 
SPESIALISERT	s p eː s iː a l iː s a r t 
SPESIALISTER	s p eː s iː a l ɪ s t ə r 
SPESIALISTHELSETJENESTEN	s p eː s iː a l ɪ s t h ɛ l s ə ʂ eː n ɛ s t ə n 
SPESIALISTMILJØET	s p eː s iː a l ɪ s t m ɪ j øː ə t 
SPESIALOMRÅDE	s p eː s iː a l ɔ m r oː d a 
SPESIALSKOLENE	s p eː s iː ɑ l s k uː l ɛ n a 
SPESIALTILPASSEDE	s p eː s iː ɑ l t ɪ l p ɑ s s eː d a 
SPESIELL	s p eː s iː ɛ l 
SPESIELLE	s p eː s iː ɛ l l a 
SPESIELT	s p eː s iː ɛ l t 
SPESIFIKKE	s p eː s iː f ɪ kː a 
SPIKER	s p iː k ə r 
SPIKKESTAD	s p ɪ kː ə s t a d 
SPILL	s p ɪ l 
SPILLE	s p ɪ l l a 
SPILLEGLEDEN	s p ɪ l l ə ɡ l eː d ə n 
SPILLENDE	s p ɪ l l ɛ n n a 
SPILLER	s p ɪ l l ə r 
SPILLERE	s p ɪ l l eː r a 
SPILLEREN	s p ɪ l l eː r ə n 
SPILLERNE	s p ɪ l l a r n a 
SPILLEROM	s p ɪ l l eː r uː m 
SPILLES	s p ɪ l l ə s 
SPILLET	s p ɪ l l ə t 
SPILLFESTIVALER	s p ɪ l f ə s t iː v a l ə r 
SPILT	s p ɪ l t 
SPINAT	s p iː n a t 
SPINKELT	s p ɪ ŋ k ɛ l t 
SPINN	s p ɪ n 
SPISE	s p iː s a 
SPISEBESTIKKET	s p iː s eː b ɛ s t ɪ kː ə t 
SPISEBORDET	s p iː s eː b uː r d a 
SPISEFORSTYRRELSER	s p iː s eː f ɔ r ʃ t y r r ɛ l s ə r 
SPISER	s p iː s ə r 
SPISERØR	s p iː s eː r øː r 
SPISERØRET	s p iː s eː r øː r ə t 
SPISESTANDENE	s p iː s ə s t ɑ n n ɛ n a 
SPISESTEDER	s p iː s ə s t eː d ə r 
SPISSFORMULERINGER	s p ɪ s s f ɔ r m ʉː l eː r ɪ ŋ ə r 
SPIST	s p ɪ s t 
SPISTE	s p ɪ s t a 
SPLEISELAG	s p l aɪ s eː l a ɡ 
SPLID	s p l iː d 
SPLITTER	s p l ɪ tː ə r 
SPLITTET	s p l ɪ tː ə t 
SPLITTINGEN	s p l ɪ tː ɪ ŋ ə n 
SPOL	s p uː l 
SPONSING	s p ɔ n s ɪ ŋ 
SPONSORENE	s p ɔ n s uː r ɛ n a 
SPONTAN	s p ɔ n t a n 
SPONTANE	s p ɔ n t a n a 
SPONTANT	s p ɔ n t ɑ n t 
SPOR	s p uː r 
SPORE	s p uː r a 
SPORENSTREKS	s p uː r ə n s t r ɛ k s 
SPORER	s p uː r ə r 
SPORES	s p uː r ə s 
SPORET	s p uː r ə t 
SPORT	s p ʊ r t 
SPORTEN	s p ʊ r t ə n 
SPORTENPUNKTUM	s p ʊ r t ə n p ʉ ŋ k t ʉː m 
SPORTSAKTIVITET	s p ʊ r t s ɑ k t iː v iː t ə t 
SPORTSARTIKLER	s p ʊ r t s ɑ r t ɪ k l ə r 
SPORTSSENDINGER	s p ʊ r t s s ə n n ɪ ŋ ə r 
SPORVEIENE	s p ɔ r v aɪ ɛ n a 
SPORVEISANSATTE	s p ɔ r v aɪ s ɑ n s ɑ tː a 
SPORVOGNSDIVISJONEN	s p ɔ r v ɔ ŋ n s d iː v ɪ ʃ uː n ə n 
SPOTT	s p ɔ tː 
SPRAGLETE	s p r ɑ ɡ l eː t a 
SPRAKK	s p r ɑ kː 
SPRANG	s p r ɑ ŋ 
SPRE	s p r eː 
SPREDT	s p r ɛ d t 
SPREKKE	s p r ɛ kː a 
SPREKKER	s p r ɛ kː ə r 
SPRELSK	s p r ɛ l s k 
SPRENG	s p r ɛ ŋ 
SPRENGT	s p r ɛ ŋ t 
SPRER	s p r eː r 
SPRES	s p r eː s 
SPRETTER	s p r ɛ tː ə r 
SPRINGENDE	s p r ɪ ŋ ɛ n n a 
SPRINGER	s p r ɪ ŋ ə r 
SPRINT	s p r ɪ n t 
SPROGETS	s p r uː ɡ ɛ t s 
SPRUKKET	s p r ʉ kː ə t 
SPRUKNE	s p r ʉ k n a 
SPRÅK	s p r oː k 
SPRÅKBRUKERE	s p r ɔ k b r ʉː k eː r a 
SPRÅKET	s p r oː k ə t 
SPRÅKFØRING	s p r ɔ k f øː r ɪ ŋ 
SPRÅKKURS	s p r ɔ kː ʉ ʃ 
SPRÅKLIG	s p r ɔ k l ɪ 
SPRÅKLIGE	s p r ɔ k l iː ɡ a 
SPRÅKRÅDET	s p r ɔ k r oː d a 
SPRÅKSITUASJON	s p r ɔ k s iː t ʉː ɑ ʃ uː n 
SPRÅKUNDERVISNING	s p r oː k ʉ n n a r v ɪ s n ɪ ŋ 
SPRØYT	s p r øy t 
SPRØYTEMIDLER	s p r øy t eː m ɪ d l ə r 
SPRØYTING	s p r øy t ɪ ŋ 
SPUNNET	s p ʉ n n ə t 
SPURT	s p ʉ r t 
SPURTE	s p ʉ r t a 
SPYD	s p yː d 
SPYDEBERG	s p yː d eː b a r ɡ 
SPYLER	s p yː l ə r 
SPYTTER	s p y tː ə r 
SPÅMANN	s p oː m ɑ n 
SPÅR	s p oː r 
SPØK	s p øː k 
SPØR	s p øː r 
SPØRRE	s p œ r r a 
SPØRRENDE	s p œ r r ɛ n n a 
SPØRRERUNDENE	s p œ r r eː r ʉ n n ɛ n a 
SPØRRES	s p œ r r ə s 
SPØRS	s p œ ʃ 
SPØRSMÅL	s p œ r ʃ m oː l 
SPØRSMÅLENE	s p œ r ʃ m oː l ɛ n a 
SPØRSMÅLET	s p œ r ʃ m oː l ə t 
SPØRSMÅLETPUNKTUM	s p œ r ʃ m oː l ɛ t p ʉ ŋ k t ʉː m 
SPØRSMÅLSSTILLINGER	s p œ r ʃ m ɔ l s s t ɪ l l ɪ ŋ ə r 
STABEN	s t a b ə n 
STABILITET	s t a b iː l iː t ə t 
STADIER	s t a d iː ə r 
STADIET	s t a d iː ə t 
STADIG	s t a d ɪ 
STADIGKOMMA	s t a d ɪ ɡ k ɔ m m ɑ 
STADIGVEKK	s t a d ɪ ɡ v ɛ kː 
STAKKET	s t ɑ kː ə t 
STAKKVIK	s t ɑ kː v iː k 
STAMKUNDER	s t ɑ m k ʉ n n ə r 
STAMMEIDENTITETEN	s t ɑ m m aɪ d ɛ n t iː t eː t ə n 
STAMMENS	s t ɑ m m ə n s 
STAMMER	s t ɑ m m ə r 
STAMMERPUNKTUM	s t ɑ m m a r p ʉ ŋ k t ʉː m 
STAMMESTRUKTUREN	s t ɑ m m ə s t r ʉ k t ʉː r ə n 
STAMNES	s t ɑ m n ə s 
STAMPER	s t ɑ m p ə r 
STAMSUND	s t ɑ m s ʉ n n 
STAND	s t ɑ n n 
STANDARD	s t ɑ n n ɑ r 
STANDARDEN	s t ɑ n n ɑ r d ə n 
STANDARDENE	s t ɑ n n ɑ r d ɛ n a 
STANDARDISERTE	s t ɑ n n ɑ r d iː s a r t a 
STANDARDTURENE	s t ɑ n n ɑ r d t ʉː r ɛ n a 
STANDPUNKT	s t ɑ n n p ʉ ŋ k t 
STANDPUNKTER	s t ɑ n n p ʉ ŋ k t ə r 
STANDPUNKTPUNKTUM	s t ɑ n n p ʉ ŋ k t p ʉ ŋ k t ʉː m 
STANG	s t ɑ ŋ 
STANGE	s t ɑ ŋ a 
STANGER	s t ɑ ŋ ə r 
STANGHELLE	s t ɑ ŋ h ɛ l l a 
STANSE	s t ɑ n s a 
STANSER	s t ɑ n s ə r 
STANSES	s t ɑ n s ə s 
STANSET	s t ɑ n s ə t 
STAPPFULLE	s t ɑ pː f ʉ l l a 
START	s t ɑ r t 
STARTE	s t ɑ r t a 
STARTEN	s t ɑ r t ə n 
STARTER	s t ɑ r t ə r 
STARTET	s t ɑ r t ə t 
STARTGROPEN	s t ɑ r t ɡ r uː p ə n 
STASJON	s t ɑ ʃ uː n 
STASJONEN	s t ɑ ʃ uː n ə n 
STASJONENE	s t ɑ ʃ uː n ɛ n a 
STASJONER	s t ɑ ʃ uː n ə r 
STASJONSBYGNING	s t ɑ ʃ ɔ n s b y ŋ n ɪ ŋ 
STASJONSMESTEREN	s t ɑ ʃ ɔ n s m ɛ s t eː r ə n 
STAT	s t a t 
STATEN	s t a t ə n 
STATENE	s t a t ɛ n a 
STATHELLE	s t ɑ t h ɛ l l a 
STATISTIKKENS	s t a t ɪ s t ɪ kː ə n s 
STATLIG	s t ɑ t l ɪ 
STATLIGE	s t ɑ t l iː ɡ a 
STATSANSATTE	s t ɑ t s ɑ n s ɑ tː a 
STATSBEDRIFTER	s t ɑ t s b ə d r ɪ f t ə r 
STATSBORGER	s t ɑ t s b ɔ r ɡ ə r 
STATSBUDSJETTET	s t ɑ t s b ʉ d ʃ ɛ tː ə t 
STATSKASSEN	s t ɑ t s k ɑ s s ə n 
STATSKIRKEN	s t ɑ t ʃ ɪ r k ə n 
STATSMINISTER	s t ɑ t s m iː n ɪ s t ə r 
STATSMINISTEREN	s t ɑ t s m iː n ɪ s t eː r ə n 
STATSMINISTERENS	s t ɑ t s m iː n ɪ s t eː r ə n s 
STATSMINISTRE	s t ɑ t s m iː n ɪ s t r a 
STATSPENSJONEN	s t ɑ t s p ə n ʃ uː n ə n 
STATSRÅDEN	s t ɑ t s r oː d ə n 
STATSRÅDENE	s t ɑ t s r oː d ɛ n a 
STATSRÅDENS	s t ɑ t s r oː d ə n s 
STATSRÅDJOBB	s t ɑ t s r ɔ d j ɔ bː 
STATSTILSKUDDET	s t ɑ t s t ɪ l s k ʉ dː ə t 
STATUS	s t a t ʉː s 
STAV	s t a v 
STAVANG	s t a v ɑ ŋ 
STAVANGER	s t a v ɑ ŋ ə r 
STAVINGEN	s t a v ɪ ŋ ə n 
STAVKIRKERUINER	s t ɑ v x ɪ r k eː r ʉɪ n ə r 
STED	s t eː d 
STEDATTER	s t eː d ɑ tː ə r 
STEDE	s t eː d a 
STEDENE	s t eː d ɛ n a 
STEDER	s t eː d ə r 
STEDET	s t eː d a 
STEDETPUNKTUM	s t eː d ə t p ʉ ŋ k t ʉː m 
STEDPUNKTUM	s t ɛ d p ʉ ŋ k t ʉː m 
STEFAN	s t eː f a n 
STEFFENSEN	s t ɛ f f ɛ n s ə n 
STEG	s t eː ɡ 
STEIGEN	s t aɪ ɡ ə n 
STEIN	s t aɪ n 
STEINAR	s t aɪ n a r 
STEINENE	s t aɪ n ɛ n a 
STEINET	s t aɪ n ə t 
STEINHELLE	s t aɪ n h ɛ l l a 
STEINSHOLT	s t aɪ n s h ɔ l t 
STEK	s t eː k 
STEKT	s t ɛ k t 
STELLE	s t ɛ l l a 
STELTE	s t ɛ l t a 
STEMME	s t ɛ m m a 
STEMMEGRUPPENE	s t ɛ m m ə ɡ r ʉ pː ɛ n a 
STEMMEN	s t ɛ m m ə n 
STEMMEPRØVEN	s t ɛ m m ə p r øː v ə n 
STEMNING	s t ɛ m n ɪ ŋ 
STEMNINGEN	s t ɛ m n ɪ ŋ ə n 
STEMODERLIG	s t eː m uː d a r l ɪ 
STEMOREN	s t eː m uː r ə n 
STEMPEL	s t ɛ m p ə l 
STEMPELET	s t ɛ m p eː l ə t 
STEMPLE	s t ɛ m p l a 
STEMPLET	s t ɛ m p l ə t 
STEMTE	s t ɛ m t a 
STENBERG	s t ɛ n b a r ɡ 
STENE	s t eː n a 
STENERSEN	s t eː n a r ʃ ə n 
STENGE	s t ɛ ŋ a 
STENGER	s t ɛ ŋ ə r 
STENGES	s t ɛ ŋ ə s 
STENGNINGSVARSELET	s t ɛ ŋ n ɪ ŋ s v ɑ r ʃ eː l ə t 
STENGT	s t ɛ ŋ t 
STENSETH	s t ɛ n s ɛ t h 
STENSLAND	s t ɛ n ʃ l ɑ n n 
STERILISERING	s t eː r iː l iː s eː r ɪ ŋ 
STERK	s t a r k 
STERKE	s t a r k a 
STERKERE	s t a r k eː r a 
STERKEST	s t a r k ɛ s t 
STERKESTE	s t a r k ɛ s t a 
STERKT	s t a r k t 
STIAN	s t iː a n 
STIEN	s t iː ə n 
STIER	s t iː ə r 
STIFTET	s t ɪ f t ə t 
STIFTSAMTMANNEN	s t ɪ f t s ɑ m t m ɑ n n ə n 
STIFTSDIREKSJONEN	s t ɪ f t s d iː r ɛ k ʃ uː n ə n 
STIGE	s t iː ɡ a 
STIGENDE	s t iː ɡ ɛ n n a 
STIGER	s t iː ɡ ə r 
STIGNINGEN	s t ɪ ŋ n ɪ ŋ ə n 
STIKK	s t ɪ kː 
STIKKE	s t ɪ kː a 
STIKKER	s t ɪ kː ə r 
STIKKERIET	s t ɪ kː eː r iː ə t 
STIKKORD	s t ɪ kː ɔ r 
STIKKSTEDET	s t ɪ kː s t eː d a 
STIL	s t iː l 
STILISERT	s t iː l iː s a r t 
STILL	s t ɪ l 
STILLE	s t ɪ l l a 
STILLER	s t ɪ l l ə r 
STILLERE	s t ɪ l l eː r a 
STILLES	s t ɪ l l ə s 
STILLESTÅENDE	s t ɪ l l ə s t oː a n n a 
STILLHET	s t ɪ l h ə t 
STILLING	s t ɪ l l ɪ ŋ 
STILLINGEN	s t ɪ l l ɪ ŋ ə n 
STILLINGENE	s t ɪ l l ɪ ŋ ɛ n a 
STILLINGER	s t ɪ l l ɪ ŋ ə r 
STILSKAPER	s t ɪ l s k a p ə r 
STILSKRIVNING	s t ɪ l s k r ɪ v n ɪ ŋ 
STILT	s t ɪ l t 
STILTE	s t ɪ l t a 
STILUTTRYKK	s t iː l ʉ tː r y kː 
STIMULERE	s t iː m ʉː l eː r a 
STIMULI	s t iː m ʉː l iː 
STINE	s t iː n a 
STIPENDIEKUTTET	s t iː p ə n n iː eː k ʉ tː ə t 
STIRRE	s t ɪ r r a 
STIRRET	s t ɪ r r ə t 
STIVBENTE	s t ɪ v b ɛ n t a 
STIVHET	s t ɪ v h ə t 
STJERNE	s ʂ a r n a 
STJERNENE	s ʂ a r n ɛ n a 
STJERNER	s ʂ a r n ə r 
